customerid,registrationdate,age,gender,incomelevel,country,city,totalpurchases,averageordervalue,customerlifetimevalue,favoritecategory,secondfavoritecategory,emailengagementrate,socialmediaengagementrate,mobileappusage,customerserviceinteractions,averagesatisfactionscore,emailconversionrate,socialmediaconversionrate,searchengineconversionrate,repeatcustomer,premiummember,hasreturneditems
Unknown,2020-05-10,25.0,Unknown,Unknown,Other,Tokyo,4.0,15.8865094898746,672.92,Clothing,Books,0.3323645112525472,0.3796939474463288,High,0.0,6.240881371979748,0.1129550699684041,0.2399476718262589,0.1567757569395271,Yes,Yes,No
CUST00002,2021-07-18,Unknown,Prefer not to say,High,Germany,London,6.0,27.63885265517557,181.72505557776844,Electronics,Toys,0.3445742803594345,0.1409878658572782,Low,0.0,7.721916903681859,0.3009787413916798,0.2308210372350444,0.2907347701083934,Yes,No,No
CUST00003,2021-02-04,43.0,Unknown,High,France,Unknown,10.0,161.73942548765393,1810.555149730028,Unknown,Books,0.409655976865889,0.3236597407867683,Low,0.0,7.899041671120684,0.2,0.1322389023795836,0.0505054690076726,Yes,No,Yes
CUST00004,2020-12-31,49.0,Female,High,Australia,Los Angeles,5.0,14.19426270386776,86.21974007502905,Sports,Clothing,0.3567648076203752,0.2684279445349143,Never,1.0,7.829458866718619,0.0740974453892843,0.2066438170585194,0.2810671495852702,Yes,Yes,No
CUST00005,2022-06-27,29.0,Female,Very High,Australia,Tokyo,7.0,31147.427206201395,2112.5759449496786,Clothing,Beauty,0.2227030774055542,0.1604265636583856,High,2.0,7.777352694575424,0.1634376528824752,0.2324097764445833,0.326645087457617,Yes,No,No
Unknown,2023-12-10,57.0,Male,Low,USA,Sydney,3.0,18.985494543115337,5.788113916694272,Sports,Toys,0.4839585668059574,0.2268742393362235,Unknown,2.0,4.059193595488387,0.1075970766821166,0.3207413885721604,0.3172167904534266,Yes,No,Yes
CUST00007,2019-04-12,23.0,Unknown,Unknown,Canada,Los Angeles,0.0,42.48791286775084,-74.76960172340253,Unknown,Home Goods,0.5050866440772344,0.5691960628400938,Low,0.0,6.3398548487126245,0.3443784022496238,0.2237739702098927,0.1833133470417889,No,No,No
CUST00008,2021-05-23,57.0,Other,Medium,Germany,Berlin,1.0,49.18446198361215,158.35204404950952,Home Goods,Toys,0.2996004251901696,0.4005337283727923,High,0.0,8.718546524046717,0.2,0.449773749870613,0.1484009920303999,No,No,No
CUST00009,2018-11-27,43.0,Prefer not to say,High,Canada,New York,3.0,199.16379854508511,525.9858707942544,Electronics,Sports,0.4004139559517628,0.3474263315652791,Unknown,0.0,6.96,0.055744047821995,0.2074916772064487,0.19222630016271,Yes,No,Yes
CUST00010,2022-01-22,16.0,Unknown,High,Australia,Los Angeles,5.0,67.21954826669362,449.88296198245,Food,Beauty,0.4709170181804331,0.4006357790003175,Unknown,2.0,4.202159602641437,0.143863186214939,0.2503721005219939,0.1085016391814238,Yes,No,No
CUST00011,2023-11-06,64.0,Unknown,Low,Australia,New York,4.0,19.99373126361249,60.10942807931538,Sports,Clothing,0.28,0.0023778099134227,Unknown,2.0,8.793455301886159,0.0972732732035176,0.2398639119773212,0.2963929160307004,Yes,No,Yes
CUST00012,2018-05-11,28.0,Prefer not to say,High,France,Berlin,4.0,23.935587018968697,-37.64847753248711,Home Goods,Home Goods,0.3396751912731396,0.1863511141677929,Medium,1.0,8.785575522629003,0.1842804869064392,0.1129636041718942,0.1985151600456089,Unknown,Unknown,No
CUST00013,2022-08-13,53.0,Unknown,Unknown,France,Paris,5.0,177.86450232127586,813.5337901736672,Home Goods,Clothing,0.1849667801029113,0.4930770793855856,Low,4.0,6.90256356302226,0.1922807721932627,0.196217310340438,0.2061180939446076,Yes,No,Unknown
CUST00014,2020-02-09,37.0,Unknown,High,UK,Los Angeles,4.0,154.41784202773806,540.3115544095335,Home Goods,Beauty,0.1349309413873519,0.471502785952518,Medium,2.0,5.513807886375023,0.18718468877806,0.16029560961232,0.1021839591177428,Yes,No,Yes
CUST00015,2022-02-24,40.0,Prefer not to say,Unknown,Australia,London,2.0,54.96655894184753,159.066976586792,Unknown,Beauty,0.28,0.5318911174378684,Low,2.0,7.309901649920623,0.0925610935914771,0.1489395167633689,0.2831685421148115,Yes,Yes,No
CUST00016,2021-04-30,48.0,Other,Very High,France,Sydney,1.0,189.22,256.686646702814,Unknown,Food,0.2365871906537327,0.29,Low,1.0,7.393920859600193,0.0772505945988323,0.1287334383650555,0.2333299629942165,No,No,No
CUST00017,2020-08-13,47.0,Prefer not to say,Unknown,Other,New York,9.0,45.34244074167044,296.312206409059,Beauty,Beauty,0.5714438010993526,0.307049664726179,Medium,4.0,7.1521144087400295,0.2,0.4666310874149412,0.0923984824851516,Yes,No,No
CUST00018,2021-03-30,29.0,Male,Very High,UK,Tokyo,6.0,48.456181149800194,672.92,Unknown,Beauty,0.4358263292392241,0.5189302044962191,Unknown,0.0,7.216058707481906,0.2571773498845709,0.1786411170095537,0.3838224554746096,Yes,No,No
CUST00019,2019-04-05,42.0,Male,Medium,Germany,Berlin,6.0,9.844160401208615,672.92,Toys,Unknown,0.0912050622415985,0.29,High,6.0,7.315191663172959,0.1220481085572668,0.0413831743780873,0.3294876769793231,Yes,No,Yes
CUST00020,2018-01-22,41.0,Male,Low,Canada,Berlin,6.0,189.22,40.83142156201873,Electronics,Toys,0.5717954100463684,0.0529198942967157,Never,2.0,5.3272890365528,0.2244984030367077,0.1434629963119202,0.1641841146059051,Yes,No,Yes
CUST00021,2020-01-18,38.0,Male,Medium,Germany,Tokyo,4.0,158.9807257055021,672.92,Toys,Unknown,0.28,0.2360646174651767,Unknown,4.0,2.539318904132206,0.3270745057342472,0.252298433039175,0.1372510963437814,Yes,No,No
CUST00022,2019-04-20,31.0,Female,Medium,Japan,London,0.0,194.5997057816101,43.59632379420979,Clothing,Unknown,0.28,0.5286776037507536,Never,2.0,8.461399566018786,0.0892550987953138,0.1202847542865995,0.0656374921457525,No,Yes,No
