hours_studied,attendance,parental_involvement,access_to_resources,extracurricular_activities,sleep_hours,previous_scores,motivation_level,internet_access,tutoring_sessions,family_income,teacher_quality,school_type,peer_influence,physical_activity,learning_disabilities,parental_education_level,distance_from_home,gender,exam_score,gender_Female,gender_Male,school_type_Private,school_type_Public,peer_influence_Negative,peer_influence_Neutral,peer_influence_Positive,internet_access_No,internet_access_Yes,parental_involvement_encoded,access_to_resources_encoded,motivation_level_encoded,family_income_encoded,teacher_quality_encoded,study_level,attendance_level,sleep_category,hours_studied_scaled,attendance_scaled,sleep_hours_scaled,previous_scores_scaled,tutoring_sessions_scaled,study_effort,learning_efficiency,activity_study_balance,tutoring_study_impact
23,84,Low,High,No,7,73,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,67,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,0,0,1,High,Average,Normal Sleep,0.5049415064154527,0.34837540699138664,-0.01979557715729433,-0.14379992882668732,-1.213934457288018,1932,1679,69,0
19,64,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,1,1,Medium,Poor,Healthy Sleep,-0.16282241129609587,-1.3837360532878724,0.6613991013752177,-1.1161102955380136,0.41145108517868284,1216,1121,76,38
24,98,Medium,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,High,Good,Normal Sleep,0.6718824858433398,1.5608534291868679,-0.01979557715729433,1.1063133998021608,0.41145108517868284,2352,2184,96,48
29,89,Low,Medium,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,1,1,1,High,Good,Healthy Sleep,1.5065873829827754,0.7814032720612014,0.6613991013752177,1.5924685831578238,-0.40124168605466753,2581,2842,116,29
19,92,Medium,Medium,Yes,6,65,Medium,Yes,3,Medium,High,Public,Neutral,4,No,College,Near,Female,70,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,2,Medium,Good,Normal Sleep,-0.16282241129609587,1.0412199911030902,-0.7009902556898064,-0.6994058526617309,1.2241438564120333,1748,1235,76,57
19,88,Medium,Medium,Yes,8,89,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,1,1,Medium,Good,Healthy Sleep,-0.16282241129609587,0.6947976990472384,0.6613991013752177,0.9674119188433998,1.2241438564120333,1672,1691,57,57
29,84,Medium,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,1,High,Average,Normal Sleep,1.5065873829827754,0.34837540699138664,-0.01979557715729433,-0.4910536312235896,-0.40124168605466753,2436,1972,58,29
25,78,Low,High,Yes,6,50,Medium,Yes,1,High,High,Public,Negative,2,No,High School,Far,Male,66,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,2,1,2,2,High,Average,Normal Sleep,0.8388234652712269,-0.1712580310923911,-0.7009902556898064,-1.7411669598524377,-0.40124168605466753,1950,1250,50,25
17,94,Medium,High,No,6,80,High,Yes,0,Medium,Low,Private,Neutral,1,No,College,Near,Male,69,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,2,1,0,Medium,Good,Normal Sleep,-0.49670437015187013,1.2144311371310161,-0.7009902556898064,0.3423552545289758,-1.213934457288018,1598,1360,17,0
23,98,Medium,Medium,Yes,8,71,Medium,Yes,0,High,High,Public,Positive,5,No,High School,Moderate,Male,72,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,2,2,High,Good,Healthy Sleep,0.5049415064154527,1.5608534291868679,0.6613991013752177,-0.2827014097854482,-1.213934457288018,2254,1633,115,0
17,80,Low,High,No,8,88,Medium,No,4,Medium,High,Private,Neutral,4,No,College,Moderate,Male,68,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,2,1,1,2,Medium,Average,Healthy Sleep,-0.49670437015187013,0.0019531149355348125,0.6613991013752177,0.8979611783640193,2.0368366276453838,1360,1496,68,68
17,97,Medium,High,Yes,6,87,Low,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Male,71,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,0,0,2,Medium,Good,Normal Sleep,-0.49670437015187013,1.474247856172905,-0.7009902556898064,0.828510437884639,0.41145108517868284,1649,1479,34,34
