item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type
FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.86,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDW14,8.3,Regular,0.038427677,Dairy,87.32,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCN55,14.6,Low Fat,0.099574908,Others,241.75,OUT010,1998,Unknown,Tier 3,Grocery Store
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.03,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDY38,13.6,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.15,OUT046,1997,Small,Tier 1,Supermarket Type1
FDL48,19.35,Regular,0.082601537,Baking Goods,50.1,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC48,9.195,Low Fat,0.015782495,Baking Goods,81.06,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDN33,6.305,Regular,0.123365446,Snack Foods,95.74,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.89,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.35,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.39,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCC54,17.75,Low Fat,0.171079215,Health and Hygiene,240.42,OUT019,1985,Small,Tier 1,Grocery Store
FDU11,4.785,Low Fat,0.092737611,Breads,122.31,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRL59,16.75,Low Fat,0.021206464,Hard Drinks,52.03,OUT013,1987,High,Tier 3,Supermarket Type1
FDM24,6.135,Regular,0.0794507,Baking Goods,151.64,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDI57,19.85,Low Fat,0.05413521,Seafood,198.78,OUT045,2002,Unknown,Tier 2,Supermarket Type1
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.22,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCM42,6.13,Low Fat,0.028184344,Household,109.69,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.71,OUT010,1998,Unknown,Tier 3,Grocery Store
FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.01,OUT013,1987,High,Tier 3,Supermarket Type1
NCJ31,19.2,Low Fat,0.182619235,Others,239.92,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG52,13.65,Low Fat,0.065630844,Frozen Foods,47.74,OUT046,1997,Small,Tier 1,Supermarket Type1
NCL19,15.35,Low Fat,0.027447057,Others,142.35,OUT019,1985,Small,Tier 1,Grocery Store
FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.73,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX22,6.785,Regular,0.038455125,Snack Foods,209.49,OUT010,1998,Unknown,Tier 3,Grocery Store
NCF19,13,Low Fat,0.035102094,Household,47.6,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE06,5.825,Low Fat,0.091485232,Household,161.39,OUT046,1997,Small,Tier 1,Supermarket Type1
DRC27,13.8,Low Fat,0.058102469,Dairy,244.68,OUT046,1997,Small,Tier 1,Supermarket Type1
FDE21,12.8,Low Fat,0.022940349,Fruits and Vegetables,116.55,OUT035,2004,Small,Tier 2,Supermarket Type1
NCR42,9.105,Low Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store
FDX51,9.5,Regular,0.022148582,Meat,194.95,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCR06,12.5,Low Fat,0.006792707,Household,42.41,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU31,10.5,Regular,0.024870035,Fruits and Vegetables,217.75,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU59,5.78,Low Fat,0.096931426,Breads,164.26,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDR03,15.7,Regular,0.008693632,Meat,205.1,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS49,9,Low Fat,0.078961284,Canned,80.36,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD48,10.395,Low Fat,0.050479463,Baking Goods,114.02,OUT010,1998,Unknown,Tier 3,Grocery Store
NCF18,18.35,Low Fat,0.089485918,Household,192.15,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCD43,8.85,Low Fat,0.01594238,Household,103.4,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCD54,21.1,Low Fat,0.029127115,Household,143.38,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDY19,19.75,Low Fat,0.069236421,Fruits and Vegetables,116.65,OUT010,1998,Unknown,Tier 3,Grocery Store
NCY54,8.43,Low Fat,0.178699961,Household,173.94,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCL19,15.35,Low Fat,0.015740089,Others,144.85,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP23,6.71,Low Fat,0.059565107,Breads,217.22,OUT010,1998,Unknown,Tier 3,Grocery Store
FDC26,10.195,Low Fat,0.126277921,Canned,112.19,OUT013,1987,High,Tier 3,Supermarket Type1
FDR14,11.65,Low Fat,0.291322397,Dairy,55.83,OUT010,1998,Unknown,Tier 3,Grocery Store
NCS41,12.85,Low Fat,0.053433908,Health and Hygiene,183.26,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.15,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU34,18.25,Low Fat,0.075194929,Snack Foods,124.9,OUT046,1997,Small,Tier 1,Supermarket Type1
DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.06,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM03,12.65,Low Fat,0.122928415,Meat,106.69,OUT013,1987,High,Tier 3,Supermarket Type1
FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.03,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.34,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDV44,8.365,Regular,0.039651481,Fruits and Vegetables,188.72,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDG02,7.855,Low Fat,0.011278673,Canned,188.82,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA09,13.35,Regular,0,Snack Foods,179.67,OUT013,1987,High,Tier 3,Supermarket Type1
FDT04,17.25,Low Fat,0.106952661,Frozen Foods,38.38,OUT013,1987,High,Tier 3,Supermarket Type1
FDL58,12.676,Regular,0.129825457,Snack Foods,263.26,OUT019,1985,Small,Tier 1,Grocery Store
FDE52,10.395,Regular,0.029947409,Dairy,90.15,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDW12,8.315,Regular,0.035565457,Baking Goods,144.84,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL51,20.7,Regular,0.047760002,Dairy,214.99,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCY42,6.38,Low Fat,0.015089147,Household,141.35,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.81,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.7,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDB35,12.3,Regular,0.064306056,Starchy Foods,90.38,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA22,7.435,low fat,0.08493006,Starchy Foods,165.82,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCL06,14.65,Low Fat,0.072066634,Household,262.56,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI35,14,Low Fat,0.041256807,Starchy Foods,181.26,OUT013,1987,High,Tier 3,Supermarket Type1
NCW42,18.2,Low Fat,0.058587558,Household,221.65,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCX06,17.6,Low Fat,0.015711434,Household,180.1,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC37,15.5,Low Fat,0.032714163,Baking Goods,108.19,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDZ14,7.71,Regular,0.047782552,Dairy,122.38,OUT018,2009,Medium,Tier 3,Supermarket Type2
