Order_Date,Product,Category,Quantity,Price
01-02-2026,Mobile,Electronics,5.0,20838.0
01-02-2026,Headphones,Accessories,1.0,24192.0
01-02-2026,Mobile,Electronics,4.0,7020.0
01-02-2026,Headphones,Accessories,4.0,31473.0
01-02-2026,Laptop,Electronics,3.0,6051.0
01-02-2026,Laptop,Electronics,3.0,15056.0
01-02-2026,Headphones,Accessories,4.0,18636.0
01-02-2026,Mobile,Electronics,1.0,48244.0
01-02-2026,Laptop,Electronics,3.0,23373.0
01-02-2026,Mouse,Accessories,2.0,7278.0
01-02-2026,Mobile,Electronics,1.0,11586.0
01-02-2026,Mobile,Electronics,4.0,42319.0
01-02-2026,Mobile,Electronics,2.0,12236.0
01-02-2026,Laptop,Electronics,2.0,43279.0
01-02-2026,Mouse,Accessories,4.0,25685.0
01-02-2026,Mouse,Accessories,2.0,49021.0
01-02-2026,Mouse,Accessories,1.0,11550.0
01-02-2026,Headphones,Accessories,1.0,3519.0
01-02-2026,Keyboard,Accessories,3.0,30847.0
01-02-2026,Keyboard,Accessories,1.0,32896.0
01-02-2026,Laptop,Electronics,2.0,20328.0
01-02-2026,Headphones,Accessories,2.0,6905.0
01-02-2026,Laptop,Electronics,2.0,44162.0
01-02-2026,Laptop,Electronics,2.0,34390.0
02-02-2026,Mobile,Electronics,2.0,19340.0
02-02-2026,Keyboard,Accessories,5.0,553.0
02-02-2026,Headphones,Accessories,2.0,9067.0
02-02-2026,Mouse,Accessories,4.0,21246.0
02-02-2026,Laptop,Electronics,5.0,38074.0
02-02-2026,Laptop,Electronics,3.0,33750.0
02-02-2026,Mobile,Electronics,5.0,23039.0
02-02-2026,Mobile,Electronics,2.0,9033.0
02-02-2026,Mobile,Electronics,2.0,7571.0
02-02-2026,Headphones,Accessories,4.0,48343.0
02-02-2026,Laptop,Electronics,1.0,23759.0
02-02-2026,Mouse,Accessories,1.0,12196.0
02-02-2026,Mobile,Electronics,1.0,17523.0
02-02-2026,Keyboard,Accessories,3.0,932.0
02-02-2026,Mobile,Electronics,2.0,3342.0
02-02-2026,Laptop,Electronics,4.0,27954.0
02-02-2026,Laptop,Electronics,5.0,37392.0
02-02-2026,Mouse,Accessories,5.0,1238.0
02-02-2026,Mobile,Electronics,3.0,42311.0
02-02-2026,Keyboard,Accessories,1.0,26323.0
02-02-2026,Keyboard,Accessories,5.0,9218.0
02-02-2026,Mobile,Electronics,3.0,23759.0
02-02-2026,Laptop,Electronics,5.0,15782.0
03-02-2026,Laptop,Electronics,5.0,29239.0
03-02-2026,Mouse,Accessories,2.0,16005.0
03-02-2026,Mobile,Electronics,4.0,9572.0
03-02-2026,Laptop,Electronics,3.0,39098.0
03-02-2026,Headphones,Accessories,4.0,47154.0
03-02-2026,Mouse,Accessories,3.0,23759.0
03-02-2026,Keyboard,Accessories,2.0,19875.0
03-02-2026,Headphones,Accessories,2.0,42997.0
03-02-2026,Keyboard,Accessories,4.0,9573.0
03-02-2026,Laptop,Electronics,3.0,38041.0
03-02-2026,Laptop,Electronics,4.0,49314.0
03-02-2026,Laptop,Electronics,4.0,40803.0
03-02-2026,Mobile,Electronics,4.0,45468.0
03-02-2026,Laptop,Electronics,5.0,48843.0
03-02-2026,Mouse,Accessories,2.0,5590.0
03-02-2026,Keyboard,Accessories,1.0,32443.0
03-02-2026,Mobile,Electronics,2.0,13050.0
03-02-2026,Headphones,Accessories,4.0,27370.0
03-02-2026,Mobile,Electronics,1.0,45059.0
03-02-2026,Headphones,Accessories,1.0,37078.0
03-02-2026,Headphones,Accessories,5.0,7986.0
03-02-2026,Headphones,Accessories,3.0,20726.0
03-02-2026,Headphones,Accessories,1.0,23759.0
2026-02-04,Keyboard,Accessories,3.0,18094.0
2026-02-04,Laptop,Electronics,3.0,45095.0
2026-02-04,Mouse,Accessories,1.0,44720.0
2026-02-04,Mouse,Accessories,3.0,35685.0
2026-02-04,Laptop,Electronics,4.0,14036.0
2026-02-04,Laptop,Electronics,3.0,21776.0
2026-02-04,Mobile,Electronics,3.0,26777.0
