Order_Date,Product,Category,Quantity,Price
2026-02-08,Keyboard,Accessories,1,4321
2026-02-08,Laptop,Electronics,5,36447
2026-02-08,Keyboard,Electronics,4,43825
2026-02-08,Mobile,Electronics,1,45710
2026-02-08,Headphones,Electronics,1,37700
2026-02-08,Mouse,Accessories,1,1919
2026-02-08,Keyboard,Electronics,4,7732
2026-02-08,Laptop,Electronics,3,34681
2026-02-08,Keyboard,Electronics,5,40805
2026-02-08,Keyboard,Accessories,4,19895
2026-02-08,Keyboard,Accessories,2,14562
2026-02-08,Headphones,Accessories,4,23318
2026-02-08,Headphones,Electronics,5,32403
2026-02-08,Mobile,Accessories,4,6154
2026-02-08,Headphones,Electronics,5,8945
2026-02-08,Mouse,Electronics,1,23247
2026-02-08,Keyboard,Electronics,4,46932
2026-02-08,Mobile,Accessories,1,32333
2026-02-08,Headphones,Electronics,4,45321
2026-02-08,Laptop,Electronics,4,3782
2026-02-08,Laptop,Electronics,3,16755
2026-02-08,Mobile,Electronics,2,43976
2026-02-08,Mouse,Electronics,2,17599
2026-02-08,Headphones,Electronics,2,47698
2026-02-08,Keyboard,Accessories,4,21595
2026-02-08,Laptop,Electronics,3,1168
